2024-10-23 15:11:22.0801|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1446|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1591|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1720|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1720|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1876|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1983|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1983|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.1983|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2207|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2207|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2336|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2336|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2464|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2464|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2464|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2642|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2642|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2642|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2818|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2818|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2946|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2946|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.2946|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3124|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3124|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3263|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3263|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3402|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3402|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
2024-10-23 15:11:22.3402|0|ERROR|ChefKitchenAPI.Program|Authentication failed: IDX10223: Lifetime validation failed. The token is expired. ValidTo (UTC): '23.10.2024 09:28:18', Current time (UTC): '23.10.2024 12:11:22'. |url: |action: |ChefKitchenAPI.Program.<Main
