2024-10-31 08:13:27.5914|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-10-31 08:13:27.6464|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-10-31 08:13:27.6464|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\apuskin\Development\JS\ChefKitchen\backend\ChefKitchenAPI\ChefKitchenAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2024-10-31 08:16:25.0886|20504|WARN|Microsoft.EntityFrameworkCore.Query|Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'. |url: https://localhost/Users/Login|action: LoginUser|Microsoft.EntityFrameworkCore.Diagnostics.EventDefinition.Log
2024-10-31 08:24:03.1820|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-10-31 08:24:03.2366|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-10-31 08:24:03.2366|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\apuskin\Development\JS\ChefKitchen\backend\ChefKitchenAPI\ChefKitchenAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2024-10-31 08:24:37.8245|20504|WARN|Microsoft.EntityFrameworkCore.Query|Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'. |url: https://localhost/Users/Login|action: LoginUser|Microsoft.EntityFrameworkCore.Diagnostics.EventDefinition.Log
2024-10-31 14:33:26.0489|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-10-31 14:33:26.1049|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-10-31 14:33:26.1049|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\apuskin\Development\JS\ChefKitchen\backend\ChefKitchenAPI\ChefKitchenAPI |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
